ownerage,ednyears,male,ageoffirm,ownershours,country
32,10,1,2,40,Sri Lanka
25,9,0,10,84,Sri Lanka
45,11,0,3,48,Sri Lanka
45,11,1,3,14,Sri Lanka
45,11,1,3,20,Sri Lanka
45,11,1,3,2,Sri Lanka
45,11,1,3,105,Sri Lanka
45,11,1,3,30,Sri Lanka
45,11,1,3,105,Sri Lanka
45,11,1,3,30,Sri Lanka
45,11,1,3,8,Sri Lanka
45,11,1,3,75,Sri Lanka
45,11,1,3,21,Sri Lanka
29,11,0,8,70,Sri Lanka
42,11,0,21,25,Sri Lanka
42,11,1,21,30,Sri Lanka
42,11,1,21,30,Sri Lanka
42,11,1,21,10,Sri Lanka
42,11,1,21,10,Sri Lanka
42,11,1,21,32,Sri Lanka
42,11,1,21,60,Sri Lanka
42,11,1,21,40,Sri Lanka
42,11,1,21,40,Sri Lanka
42,11,1,21,50,Sri Lanka
42,11,1,21,65,Sri Lanka
45,11,0,24,70,Sri Lanka
45,11,1,24,48,Sri Lanka
45,11,1,24,92,Sri Lanka
45,11,1,24,28,Sri Lanka
45,11,1,24,60,Sri Lanka
45,11,1,24,44,Sri Lanka
45,11,1,24,30,Sri Lanka
45,11,1,24,56,Sri Lanka
45,11,1,24,35,Sri Lanka
45,11,1,24,42,Sri Lanka
45,11,1,24,32,Sri Lanka
31,13,0,13,60,Sri Lanka
31,13,1,13,36,Sri Lanka
31,13,1,13,54,Sri Lanka
31,13,1,13,54,Sri Lanka
31,13,1,13,70,Sri Lanka
31,13,1,13,56,Sri Lanka
31,13,1,13,50,Sri Lanka
31,13,1,13,56,Sri Lanka
31,13,1,13,70,Sri Lanka
31,13,1,13,56,Sri Lanka
31,13,1,13,24,Sri Lanka
45,5,0,4,30,Sri Lanka
45,5,1,4,0,Sri Lanka
45,5,1,4,0,Sri Lanka
38,4,0,25,28,Sri Lanka
38,4,1,25,49,Sri Lanka
38,4,1,25,36,Sri Lanka
38,4,1,25,35,Sri Lanka
38,4,1,25,49,Sri Lanka
38,4,1,25,60,Sri Lanka
38,4,1,25,63,Sri Lanka
38,4,1,25,70,Sri Lanka
38,4,1,25,56,Sri Lanka
38,4,1,25,70,Sri Lanka
38,4,1,25,48,Sri Lanka
44,10,0,24,70,Sri Lanka
44,10,1,24,0,Sri Lanka
44,10,1,24,30,Sri Lanka
44,10,1,24,0,Sri Lanka
44,10,1,24,24,Sri Lanka
44,10,1,24,70,Sri Lanka
44,10,1,24,10,Sri Lanka
44,10,1,24,40,Sri Lanka
44,10,1,24,25,Sri Lanka
44,10,1,24,50,Sri Lanka
44,10,1,24,50,Sri Lanka
37,11,0,2,25,Sri Lanka
37,11,1,2,40,Sri Lanka
37,11,1,2,5,Sri Lanka
37,11,1,2,56,Sri Lanka
37,11,1,2,56,Sri Lanka
37,11,1,2,56,Sri Lanka
37,11,1,2,63,Sri Lanka
37,11,1,2,65,Sri Lanka
37,11,1,2,56,Sri Lanka
37,11,1,2,36,Sri Lanka
37,11,1,2,63,Sri Lanka
29,11,0,1,56,Sri Lanka
43,11,0,6,60,Sri Lanka
43,11,1,6,72,Sri Lanka
43,11,1,6,48,Sri Lanka
43,11,1,6,70,Sri Lanka
43,11,1,6,70,Sri Lanka
43,11,1,6,60,Sri Lanka
43,11,1,6,60,Sri Lanka
43,11,1,6,65,Sri Lanka
43,11,1,6,48,Sri Lanka
43,11,1,6,77,Sri Lanka
43,11,1,6,70,Sri Lanka
37,7,0,16,48,Sri Lanka
37,7,1,16,91,Sri Lanka
37,7,1,16,72,Sri Lanka
37,7,1,16,78,Sri Lanka
37,7,1,16,80,Sri Lanka
37,7,1,16,0,Sri Lanka
37,7,1,16,85,Sri Lanka
37,7,1,16,70,Sri Lanka
37,7,1,16,35,Sri Lanka
37,7,1,16,80,Sri Lanka
37,7,1,16,60,Sri Lanka
30,15,0,28,30,Sri Lanka
30,15,1,28,0,Sri Lanka
30,15,1,28,25,Sri Lanka
30,15,1,28,2,Sri Lanka
30,15,1,28,5,Sri Lanka
39,11,0,11,84,Sri Lanka
39,11,1,11,49,Sri Lanka
39,11,1,11,45,Sri Lanka
39,11,1,11,56,Sri Lanka
39,11,1,11,63,Sri Lanka
39,11,1,11,20,Sri Lanka
39,11,1,11,56,Sri Lanka
45,9,0,1,21,Sri Lanka
45,9,1,1,84,Sri Lanka
45,9,1,1,50,Sri Lanka
45,9,1,1,21,Sri Lanka
45,9,1,1,70,Sri Lanka
45,9,1,1,60,Sri Lanka
45,9,1,1,60,Sri Lanka
45,9,1,1,72,Sri Lanka
45,9,1,1,30,Sri Lanka
45,9,1,1,24,Sri Lanka
45,9,1,1,70,Sri Lanka
32,11,0,1,60,Sri Lanka
32,11,1,1,14,Sri Lanka
32,11,1,1,42,Sri Lanka
32,11,1,1,60,Sri Lanka
32,11,1,1,58,Sri Lanka
32,11,1,1,63,Sri Lanka
32,11,1,1,21,Sri Lanka
32,11,1,1,40,Sri Lanka
32,11,1,1,48,Sri Lanka
32,11,1,1,70,Sri Lanka
32,11,1,1,48,Sri Lanka
34,11,0,12,70,Sri Lanka
37,10,0,11,98,Sri Lanka
45,11,0,18,70,Sri Lanka
45,11,1,18,20,Sri Lanka
45,11,1,18,45,Sri Lanka
45,11,1,18,45,Sri Lanka
45,11,1,18,30,Sri Lanka
45,11,1,18,54,Sri Lanka
45,11,1,18,0,Sri Lanka
45,11,1,18,40,Sri Lanka
45,11,1,18,40,Sri Lanka
45,11,1,18,24,Sri Lanka
45,11,1,18,5,Sri Lanka
43,9,0,4,24,Sri Lanka
43,9,1,4,56,Sri Lanka
43,9,1,4,24,Sri Lanka
32,11,0,2,70,Sri Lanka
32,11,1,2,0,Sri Lanka
32,11,1,2,70,Sri Lanka
32,11,1,2,10,Sri Lanka
32,11,1,2,56,Sri Lanka
32,11,1,2,70,Sri Lanka
32,11,1,2,49,Sri Lanka
32,11,1,2,70,Sri Lanka
32,11,1,2,70,Sri Lanka
32,11,1,2,70,Sri Lanka
32,11,1,2,50,Sri Lanka
45,17,0,13,48,Sri Lanka
45,17,1,13,42,Sri Lanka
45,17,1,13,56,Sri Lanka
45,17,1,13,56,Sri Lanka
45,17,1,13,70,Sri Lanka
45,17,1,13,25,Sri Lanka
29,5,0,5,48,Sri Lanka
29,5,1,5,40,Sri Lanka
29,5,1,5,86,Sri Lanka
29,5,1,5,80,Sri Lanka
29,5,1,5,6,Sri Lanka
29,5,1,5,0,Sri Lanka
29,5,1,5,42,Sri Lanka
29,5,1,5,75,Sri Lanka
29,5,1,5,80,Sri Lanka
29,5,1,5,42,Sri Lanka
29,5,1,5,74,Sri Lanka
40,11,0,18,30,Sri Lanka
40,11,1,18,25,Sri Lanka
40,11,1,18,80,Sri Lanka
40,11,1,18,28,Sri Lanka
40,11,1,18,0,Sri Lanka
40,11,1,18,42,Sri Lanka
40,11,1,18,50,Sri Lanka
40,11,1,18,60,Sri Lanka
40,11,1,18,60,Sri Lanka
40,11,1,18,60,Sri Lanka
33,6,0,1,35,Sri Lanka
33,6,1,1,56,Sri Lanka
38,4,0,6,56,Sri Lanka
38,4,1,6,30,Sri Lanka
38,4,1,6,42,Sri Lanka
38,4,1,6,48,Sri Lanka
38,4,1,6,48,Sri Lanka
38,4,1,6,0,Sri Lanka
38,4,1,6,48,Sri Lanka
38,4,1,6,50,Sri Lanka
38,4,1,6,42,Sri Lanka
38,4,1,6,30,Sri Lanka
38,4,1,6,30,Sri Lanka
40,11,0,15,36,Sri Lanka
40,11,1,15,40,Sri Lanka
40,11,1,15,40,Sri Lanka
40,11,1,15,35,Sri Lanka
40,11,1,15,26,Sri Lanka
40,11,1,15,20,Sri Lanka
40,11,1,15,56,Sri Lanka
40,11,1,15,50,Sri Lanka
40,11,1,15,42,Sri Lanka
40,11,1,15,85,Sri Lanka
40,11,1,15,12,Sri Lanka
28,11,0,8,40,Sri Lanka
28,11,1,8,24,Sri Lanka
28,11,1,8,100,Sri Lanka
28,11,1,8,40,Sri Lanka
28,11,1,8,35,Sri Lanka
28,11,1,8,0,Sri Lanka
28,11,1,8,72,Sri Lanka
28,11,1,8,63,Sri Lanka
28,11,1,8,70,Sri Lanka
28,11,1,8,56,Sri Lanka
44,14,0,6,28,Sri Lanka
44,14,1,6,10,Sri Lanka
44,14,1,6,14,Sri Lanka
44,14,1,6,12,Sri Lanka
44,14,1,6,6,Sri Lanka
44,14,1,6,15,Sri Lanka
44,2,0,3,25,Sri Lanka
44,2,1,3,49,Sri Lanka
44,2,1,3,70,Sri Lanka
44,2,1,3,70,Sri Lanka
44,2,1,3,35,Sri Lanka
44,2,1,3,42,Sri Lanka
44,2,1,3,40,Sri Lanka
44,2,1,3,40,Sri Lanka
44,2,1,3,30,Sri Lanka
44,2,1,3,35,Sri Lanka
44,2,1,3,85,Sri Lanka
34,11,0,11,36,Sri Lanka
34,11,1,11,48,Sri Lanka
34,11,1,11,5,Sri Lanka
40,10,0,25,32,Sri Lanka
40,10,1,25,56,Sri Lanka
40,10,1,25,45,Sri Lanka
40,10,1,25,45,Sri Lanka
40,10,1,25,70,Sri Lanka
40,10,1,25,63,Sri Lanka
23,11,0,28,35,Sri Lanka
23,11,1,28,30,Sri Lanka
23,11,1,28,63,Sri Lanka
23,11,1,28,56,Sri Lanka
23,11,1,28,40,Sri Lanka
23,11,1,28,54,Sri Lanka
23,11,1,28,48,Sri Lanka
23,11,1,28,56,Sri Lanka
23,11,1,28,45,Sri Lanka
23,11,1,28,50,Sri Lanka
23,11,1,28,56,Sri Lanka
24,11,0,1,48,Sri Lanka
24,11,1,1,0,Sri Lanka
24,11,1,1,30,Sri Lanka
24,11,1,1,0,Sri Lanka
24,11,1,1,0,Sri Lanka
24,11,1,1,0,Sri Lanka
24,11,1,1,5,Sri Lanka
24,11,1,1,10,Sri Lanka
24,11,1,1,30,Sri Lanka
37,11,0,4,40,Sri Lanka
37,11,1,4,36,Sri Lanka
37,11,1,4,56,Sri Lanka
37,11,1,4,30,Sri Lanka
37,11,1,4,66,Sri Lanka
37,11,1,4,54,Sri Lanka
37,11,1,4,48,Sri Lanka
37,11,1,4,56,Sri Lanka
37,11,1,4,70,Sri Lanka
37,11,1,4,60,Sri Lanka
40,7,0,20,48,Sri Lanka
40,7,1,20,48,Sri Lanka
40,7,1,20,70,Sri Lanka
40,7,1,20,56,Sri Lanka
40,7,1,20,0,Sri Lanka
40,7,1,20,0,Sri Lanka
40,7,1,20,56,Sri Lanka
40,7,1,20,0,Sri Lanka
40,7,1,20,0,Sri Lanka
40,7,1,20,50,Sri Lanka
40,7,1,20,24,Sri Lanka
30,11,0,2,20,Sri Lanka
30,11,1,2,56,Sri Lanka
40,9,0,38,63,Sri Lanka
40,9,1,38,60,Sri Lanka
36,9,0,14,60,Sri Lanka
36,9,1,14,84,Sri Lanka
36,9,1,14,73,Sri Lanka
36,9,1,14,45,Sri Lanka
36,9,1,14,72,Sri Lanka
36,9,1,14,60,Sri Lanka
36,9,1,14,70,Sri Lanka
36,9,1,14,50,Sri Lanka
36,9,1,14,85,Sri Lanka
36,9,1,14,84,Sri Lanka
36,9,1,14,45,Sri Lanka
41,3,0,10,42,Sri Lanka
41,3,1,10,0,Sri Lanka
41,3,1,10,45,Sri Lanka
41,3,1,10,10,Sri Lanka
41,3,1,10,0,Sri Lanka
41,3,1,10,0,Sri Lanka
41,3,1,10,40,Sri Lanka
41,3,1,10,50,Sri Lanka
41,3,1,10,56,Sri Lanka
42,11,0,23,70,Sri Lanka
42,11,1,23,25,Sri Lanka
42,11,1,23,35,Sri Lanka
42,11,1,23,42,Sri Lanka
42,11,1,23,30,Sri Lanka
42,11,1,23,38,Sri Lanka
42,11,1,23,40,Sri Lanka
42,11,1,23,72,Sri Lanka
42,11,1,23,42,Sri Lanka
41,13,0,13,48,Sri Lanka
41,13,1,13,48,Sri Lanka
41,13,1,13,16,Sri Lanka
41,13,1,13,20,Sri Lanka
41,13,1,13,16,Sri Lanka
41,13,1,13,24,Sri Lanka
41,13,1,13,35,Sri Lanka
41,13,1,13,24,Sri Lanka
41,13,1,13,30,Sri Lanka
40,11,0,3,60,Sri Lanka
39,13,0,15,42,Sri Lanka
39,13,1,15,30,Sri Lanka
39,13,1,15,50,Sri Lanka
39,13,1,15,35,Sri Lanka
39,13,1,15,27,Sri Lanka
39,13,1,15,30,Sri Lanka
39,13,1,15,7,Sri Lanka
39,13,1,15,60,Sri Lanka
39,13,1,15,50,Sri Lanka
39,13,1,15,50,Sri Lanka
39,13,1,15,40,Sri Lanka
40,8,0,10,49,Sri Lanka
40,8,1,10,0,Sri Lanka
40,8,1,10,77,Sri Lanka
40,8,1,10,56,Sri Lanka
40,8,1,10,60,Sri Lanka
40,8,1,10,0,Sri Lanka
40,8,1,10,42,Sri Lanka
40,8,1,10,45,Sri Lanka
40,8,1,10,84,Sri Lanka
40,8,1,10,49,Sri Lanka
32,11,0,0,63,Sri Lanka
32,11,1,0,48,Sri Lanka
32,11,1,0,48,Sri Lanka
32,11,1,0,50,Sri Lanka
32,11,1,0,50,Sri Lanka
32,11,1,0,0,Sri Lanka
32,11,1,0,70,Sri Lanka
32,11,1,0,48,Sri Lanka
32,11,1,0,70,Sri Lanka
32,11,1,0,0,Sri Lanka
32,11,1,0,70,Sri Lanka
40,13,0,2,60,Sri Lanka
40,13,1,2,65,Sri Lanka
40,13,1,2,56,Sri Lanka
40,13,1,2,63,Sri Lanka
40,13,1,2,63,Sri Lanka
40,13,1,2,24,Sri Lanka
40,13,1,2,49,Sri Lanka
40,13,1,2,42,Sri Lanka
40,13,1,2,48,Sri Lanka
40,13,1,2,63,Sri Lanka
40,13,1,2,56,Sri Lanka
39,2,0,6,25,Sri Lanka
39,2,1,6,42,Sri Lanka
39,2,1,6,10,Sri Lanka
39,2,1,6,48,Sri Lanka
39,2,1,6,0,Sri Lanka
39,2,1,6,12,Sri Lanka
39,2,1,6,30,Sri Lanka
39,2,1,6,42,Sri Lanka
39,2,1,6,35,Sri Lanka
35,10,0,2,60,Sri Lanka
35,10,1,2,35,Sri Lanka
35,10,1,2,60,Sri Lanka
35,10,1,2,56,Sri Lanka
35,10,1,2,36,Sri Lanka
35,10,1,2,48,Sri Lanka
35,10,1,2,54,Sri Lanka
35,10,1,2,60,Sri Lanka
35,10,1,2,70,Sri Lanka
35,10,1,2,56,Sri Lanka
35,10,1,2,54,Sri Lanka
38,11,0,4,42,Sri Lanka
38,11,1,4,42,Sri Lanka
38,11,1,4,35,Sri Lanka
38,11,1,4,44,Sri Lanka
38,11,1,4,70,Sri Lanka
38,11,0,4,54,Sri Lanka
38,11,1,4,60,Sri Lanka
38,11,0,4,77,Sri Lanka
38,11,0,4,63,Sri Lanka
38,11,1,4,48,Sri Lanka
38,11,1,4,60,Sri Lanka
37,13,0,15,56,Sri Lanka
37,13,1,15,50,Sri Lanka
37,13,1,15,70,Sri Lanka
37,13,1,15,40,Sri Lanka
37,13,1,15,56,Sri Lanka
37,13,1,15,90,Sri Lanka
37,13,1,15,54,Sri Lanka
37,13,1,15,70,Sri Lanka
37,13,1,15,60,Sri Lanka
37,13,1,15,56,Sri Lanka
37,13,1,15,16,Sri Lanka
44,8,0,24,45,Sri Lanka
44,8,1,24,23,Sri Lanka
44,8,1,24,105,Sri Lanka
44,8,1,24,84,Sri Lanka
44,8,1,24,63,Sri Lanka
44,8,1,24,84,Sri Lanka
44,8,1,24,96,Sri Lanka
44,8,1,24,115,Sri Lanka
44,8,1,24,56,Sri Lanka
44,8,1,24,70,Sri Lanka
44,8,1,24,60,Sri Lanka
27,11,0,1,45,Sri Lanka
27,11,1,1,54,Sri Lanka
27,11,1,1,72,Sri Lanka
27,11,1,1,40,Sri Lanka
27,11,1,1,40,Sri Lanka
27,11,1,1,52,Sri Lanka
27,11,1,1,30,Sri Lanka
27,11,1,1,30,Sri Lanka
27,11,1,1,50,Sri Lanka
27,11,1,1,35,Sri Lanka
34,8,0,5,56,Sri Lanka
34,8,1,5,49,Sri Lanka
34,8,1,5,36,Sri Lanka
34,8,1,5,42,Sri Lanka
34,8,1,5,56,Sri Lanka
34,8,1,5,70,Sri Lanka
34,8,1,5,70,Sri Lanka
34,8,1,5,60,Sri Lanka
34,8,1,5,60,Sri Lanka
34,8,1,5,72,Sri Lanka
37,11,0,12,80,Sri Lanka
37,11,1,12,70,Sri Lanka
37,11,1,12,50,Sri Lanka
37,11,1,12,45,Sri Lanka
37,11,0,12,48,Sri Lanka
37,11,1,12,30,Sri Lanka
37,11,1,12,70,Sri Lanka
37,11,1,12,91,Sri Lanka
37,11,1,12,60,Sri Lanka
37,11,1,12,84,Sri Lanka
37,11,1,12,78,Sri Lanka
35,11,0,9,91,Sri Lanka
35,11,1,9,60,Sri Lanka
35,11,1,9,90,Sri Lanka
35,11,1,9,30,Sri Lanka
35,11,1,9,54,Sri Lanka
35,11,1,9,70,Sri Lanka
35,11,1,9,77,Sri Lanka
35,11,1,9,72,Sri Lanka
35,11,1,9,70,Sri Lanka
35,11,1,9,77,Sri Lanka
35,11,1,9,80,Sri Lanka
36,10,0,8,70,Sri Lanka
36,10,1,8,54,Sri Lanka
36,10,1,8,56,Sri Lanka
36,10,1,8,60,Sri Lanka
36,10,1,8,70,Sri Lanka
36,10,1,8,56,Sri Lanka
36,10,1,8,54,Sri Lanka
36,10,1,8,54,Sri Lanka
36,10,1,8,56,Sri Lanka
36,10,1,8,70,Sri Lanka
36,10,1,8,60,Sri Lanka
31,11,0,13,84,Sri Lanka
31,11,1,13,70,Sri Lanka
31,11,1,13,90,Sri Lanka
31,11,1,13,32,Sri Lanka
31,11,1,13,84,Sri Lanka
31,11,1,13,45,Sri Lanka
31,11,1,13,60,Sri Lanka
31,11,1,13,65,Sri Lanka
31,11,1,13,90,Sri Lanka
31,11,1,13,60,Sri Lanka
31,11,1,13,60,Sri Lanka
45,11,0,1,63,Sri Lanka
45,11,1,1,48,Sri Lanka
45,11,1,1,0,Sri Lanka
45,11,1,1,45,Sri Lanka
45,11,1,1,70,Sri Lanka
45,11,1,1,56,Sri Lanka
45,11,1,1,63,Sri Lanka
45,11,1,1,80,Sri Lanka
45,11,1,1,63,Sri Lanka
45,11,1,1,63,Sri Lanka
45,11,1,1,45,Sri Lanka
41,13,0,12,84,Sri Lanka
41,13,1,12,45,Sri Lanka
41,13,1,12,60,Sri Lanka
41,13,1,12,32,Sri Lanka
41,13,1,12,72,Sri Lanka
41,13,1,12,24,Sri Lanka
41,13,1,12,40,Sri Lanka
41,13,1,12,0,Sri Lanka
41,13,1,12,40,Sri Lanka
41,13,1,12,63,Sri Lanka
41,13,1,12,56,Sri Lanka
42,9,0,43,48,Sri Lanka
42,9,1,43,15,Sri Lanka
42,9,1,43,42,Sri Lanka
42,9,1,43,0,Sri Lanka
42,9,1,43,10,Sri Lanka
42,9,1,43,0,Sri Lanka
42,9,1,43,0,Sri Lanka
34,11,0,6,42,Sri Lanka
34,11,1,6,40,Sri Lanka
34,11,1,6,70,Sri Lanka
34,11,1,6,80,Sri Lanka
34,11,1,6,60,Sri Lanka
34,11,1,6,80,Sri Lanka
34,11,1,6,12,Sri Lanka
34,11,1,6,84,Sri Lanka
34,11,1,6,49,Sri Lanka
34,11,1,6,60,Sri Lanka
34,11,1,6,63,Sri Lanka
45,8,0,18,50,Sri Lanka
45,8,1,18,70,Sri Lanka
45,8,1,18,20,Sri Lanka
45,8,1,18,21,Sri Lanka
45,8,1,18,35,Sri Lanka
45,8,1,18,48,Sri Lanka
45,8,1,18,55,Sri Lanka
45,8,1,18,60,Sri Lanka
45,8,1,18,60,Sri Lanka
45,8,1,18,72,Sri Lanka
42,11,0,22,70,Sri Lanka
42,11,1,22,56,Sri Lanka
42,11,1,22,20,Sri Lanka
45,10,0,6,60,Sri Lanka
45,10,1,6,112,Sri Lanka
45,10,1,6,80,Sri Lanka
30,10,0,2,84,Sri Lanka
30,10,1,2,84,Sri Lanka
30,10,1,2,80,Sri Lanka
30,10,1,2,48,Sri Lanka
30,10,1,2,32,Sri Lanka
43,10,0,10,91,Sri Lanka
43,10,1,10,28,Sri Lanka
43,10,1,10,48,Sri Lanka
43,10,1,10,0,Sri Lanka
43,10,1,10,0,Sri Lanka
43,10,1,10,1,Sri Lanka
43,10,1,10,0,Sri Lanka
43,10,1,10,0,Sri Lanka
43,10,1,10,10,Sri Lanka
43,10,1,10,84,Sri Lanka
44,13,0,12,42,Sri Lanka
44,13,1,12,63,Sri Lanka
44,13,1,12,63,Sri Lanka
44,13,1,12,70,Sri Lanka
44,13,1,12,63,Sri Lanka
44,13,1,12,63,Sri Lanka
44,13,1,12,77,Sri Lanka
44,13,1,12,70,Sri Lanka
44,13,1,12,63,Sri Lanka
44,13,1,12,63,Sri Lanka
44,13,1,12,56,Sri Lanka
39,11,0,12,54,Sri Lanka
39,11,1,12,10,Sri Lanka
39,11,1,12,45,Sri Lanka
39,11,1,12,54,Sri Lanka
39,11,1,12,0,Sri Lanka
39,11,1,12,70,Sri Lanka
39,11,1,12,40,Sri Lanka
39,11,1,12,0,Sri Lanka
29,11,0,6,70,Sri Lanka
29,11,1,6,48,Sri Lanka
29,11,1,6,49,Sri Lanka
29,11,1,6,62,Sri Lanka
29,11,1,6,60,Sri Lanka
29,11,1,6,38,Sri Lanka
29,11,1,6,20,Sri Lanka
29,11,1,6,48,Sri Lanka
29,11,1,6,40,Sri Lanka
26,13,0,4,48,Sri Lanka
26,13,1,4,70,Sri Lanka
26,13,1,4,77,Sri Lanka
26,13,1,4,63,Sri Lanka
26,13,1,4,70,Sri Lanka
26,13,1,4,70,Sri Lanka
26,13,1,4,84,Sri Lanka
26,13,1,4,84,Sri Lanka
26,13,1,4,70,Sri Lanka
26,13,1,4,84,Sri Lanka
26,13,1,4,77,Sri Lanka
41,8,0,4,25,Sri Lanka
41,8,1,4,48,Sri Lanka
41,8,1,4,48,Sri Lanka
41,8,1,4,84,Sri Lanka
41,8,1,4,50,Sri Lanka
41,8,1,4,48,Sri Lanka
41,8,1,4,70,Sri Lanka
41,8,1,4,80,Sri Lanka
41,8,1,4,63,Sri Lanka
41,8,1,4,70,Sri Lanka
41,8,1,4,84,Sri Lanka
44,9,0,14,28,Sri Lanka
44,9,1,14,49,Sri Lanka
44,9,1,14,28,Sri Lanka
44,9,1,14,8,Sri Lanka
44,9,1,14,30,Sri Lanka
44,9,1,14,40,Sri Lanka
44,9,1,14,56,Sri Lanka
44,9,1,14,21,Sri Lanka
38,13,0,3,70,Sri Lanka
38,13,1,3,70,Sri Lanka
38,13,1,3,84,Sri Lanka
38,13,1,3,84,Sri Lanka
38,13,1,3,90,Sri Lanka
38,13,1,3,0,Sri Lanka
38,13,1,3,0,Sri Lanka
38,13,1,3,85,Sri Lanka
38,13,1,3,80,Sri Lanka
38,13,1,3,14,Sri Lanka
38,13,1,3,1,Sri Lanka
41,13,0,5,70,Sri Lanka
41,13,1,5,0,Sri Lanka
41,13,1,5,10,Sri Lanka
41,13,1,5,10,Sri Lanka
41,13,1,5,0,Sri Lanka
41,13,1,5,18,Sri Lanka
41,13,1,5,3,Sri Lanka
41,13,1,5,0,Sri Lanka
41,13,1,5,30,Sri Lanka
41,13,1,5,55,Sri Lanka
29,11,0,7,60,Sri Lanka
29,11,1,7,56,Sri Lanka
29,11,1,7,32,Sri Lanka
29,11,1,7,45,Sri Lanka
29,11,1,7,30,Sri Lanka
29,11,1,7,45,Sri Lanka
29,11,1,7,60,Sri Lanka
29,11,1,7,60,Sri Lanka
29,11,1,7,70,Sri Lanka
29,11,1,7,60,Sri Lanka
29,11,1,7,70,Sri Lanka
41,10,0,14,48,Sri Lanka
41,10,1,14,70,Sri Lanka
41,10,1,14,64,Sri Lanka
41,10,1,14,48,Sri Lanka
41,10,1,14,60,Sri Lanka
41,10,1,14,72,Sri Lanka
41,10,1,14,56,Sri Lanka
41,10,1,14,60,Sri Lanka
41,10,1,14,60,Sri Lanka
40,11,0,1,48,Sri Lanka
40,11,1,1,40,Sri Lanka
40,11,1,1,36,Sri Lanka
40,11,1,1,24,Sri Lanka
40,11,1,1,90,Sri Lanka
40,11,1,1,30,Sri Lanka
40,11,1,1,15,Sri Lanka
40,11,1,1,30,Sri Lanka
40,11,1,1,56,Sri Lanka
40,11,1,1,60,Sri Lanka
40,11,1,1,42,Sri Lanka
38,13,0,2,60,Sri Lanka
38,13,1,2,48,Sri Lanka
38,13,1,2,90,Sri Lanka
38,13,1,2,40,Sri Lanka
38,13,1,2,70,Sri Lanka
38,13,1,2,105,Sri Lanka
38,13,1,2,70,Sri Lanka
38,13,1,2,78,Sri Lanka
38,13,1,2,90,Sri Lanka
38,13,1,2,84,Sri Lanka
38,13,1,2,56,Sri Lanka
30,10,0,2,60,Sri Lanka
30,10,1,2,40,Sri Lanka
30,10,1,2,10,Sri Lanka
30,10,1,2,0,Sri Lanka
30,10,1,2,42,Sri Lanka
30,10,1,2,24,Sri Lanka
30,10,1,2,8,Sri Lanka
30,10,1,2,30,Sri Lanka
30,10,1,2,30,Sri Lanka
30,10,1,2,0,Sri Lanka
30,10,1,2,36,Sri Lanka
42,11,0,26,99,Sri Lanka
42,11,1,26,50,Sri Lanka
42,11,1,26,46,Sri Lanka
42,11,1,26,49,Sri Lanka
42,11,1,26,40,Sri Lanka
42,11,1,26,28,Sri Lanka
42,11,1,26,40,Sri Lanka
42,11,1,26,20,Sri Lanka
42,11,1,26,42,Sri Lanka
42,11,1,26,20,Sri Lanka
42,11,1,26,50,Sri Lanka
37,11,0,1,40,Sri Lanka
43,10,0,2,21,Sri Lanka
43,10,1,2,14,Sri Lanka
43,10,1,2,20,Sri Lanka
43,10,1,2,10,Sri Lanka
43,10,1,2,6,Sri Lanka
43,10,1,2,6,Sri Lanka
43,10,1,2,20,Sri Lanka
43,10,1,2,30,Sri Lanka
43,10,1,2,30,Sri Lanka
43,10,1,2,24,Sri Lanka
43,10,1,2,40,Sri Lanka
41,12,0,5,49,Sri Lanka
41,12,1,5,36,Sri Lanka
36,11,0,1,35,Sri Lanka
36,11,1,1,48,Sri Lanka
36,11,1,1,85,Sri Lanka
36,11,1,1,20,Sri Lanka
36,11,1,1,76,Sri Lanka
36,11,1,1,63,Sri Lanka
36,11,1,1,30,Sri Lanka
36,11,1,1,56,Sri Lanka
36,11,1,1,0,Sri Lanka
36,11,1,1,60,Sri Lanka
36,11,1,1,24,Sri Lanka
31,11,0,8,42,Sri Lanka
31,11,1,8,36,Sri Lanka
31,11,1,8,80,Sri Lanka
31,11,1,8,77,Sri Lanka
31,11,1,8,91,Sri Lanka
31,11,1,8,84,Sri Lanka
31,11,1,8,98,Sri Lanka
31,11,1,8,98,Sri Lanka
31,11,1,8,77,Sri Lanka
31,11,1,8,77,Sri Lanka
31,11,1,8,77,Sri Lanka
44,13,0,3,30,Sri Lanka
44,13,1,3,54,Sri Lanka
44,13,1,3,28,Sri Lanka
44,13,1,3,0,Sri Lanka
44,13,1,3,35,Sri Lanka
44,13,1,3,0,Sri Lanka
44,13,1,3,30,Sri Lanka
44,13,1,3,0,Sri Lanka
44,13,1,3,32,Sri Lanka
44,13,1,3,20,Sri Lanka
44,13,1,3,0,Sri Lanka
29,13,0,1,42,Sri Lanka
29,13,1,1,80,Sri Lanka
29,13,1,1,60,Sri Lanka
29,13,1,1,0,Sri Lanka
29,13,1,1,30,Sri Lanka
29,13,1,1,70,Sri Lanka
29,13,1,1,74,Sri Lanka
29,13,1,1,40,Sri Lanka
29,13,1,1,64,Sri Lanka
29,13,1,1,0,Sri Lanka
39,11,0,6,60,Sri Lanka
39,11,1,6,84,Sri Lanka
39,11,1,6,56,Sri Lanka
39,11,1,6,63,Sri Lanka
39,11,1,6,70,Sri Lanka
39,11,1,6,56,Sri Lanka
39,11,1,6,24,Sri Lanka
